	Time [s]	Minimum [K]	Maximum [K]	Average [K]	
692	68.94	303.6	303.6	303.6	
693	69.04	303.59	303.59	303.59	
694	69.14	303.58	303.58	303.58	
695	69.24	303.57	303.57	303.57	
696	69.34	303.56	303.56	303.56	
697	69.44	303.55	303.55	303.55	
698	69.54	303.54	303.54	303.54	
699	69.64	303.53	303.53	303.53	
700	69.74	303.52	303.52	303.52	
701	69.84	303.51	303.51	303.51	
702	69.94	303.5	303.5	303.5	
703	70.04	303.49	303.49	303.49	
704	70.14	303.48	303.48	303.48	
705	70.24	303.46	303.46	303.46	
706	70.34	303.45	303.45	303.45	
707	70.44	303.44	303.44	303.44	
708	70.54	303.43	303.43	303.43	
709	70.64	303.42	303.42	303.42	
710	70.74	303.41	303.41	303.41	
711	70.84	303.4	303.4	303.4	
712	70.94	303.39	303.39	303.39	
713	71.04	303.38	303.38	303.38	
714	71.14	303.37	303.37	303.37	
715	71.24	303.36	303.36	303.36	
716	71.34	303.35	303.35	303.35	
717	71.44	303.34	303.34	303.34	
718	71.54	303.33	303.33	303.33	
719	71.64	303.32	303.32	303.32	
720	71.74	303.31	303.31	303.31	
721	71.84	303.3	303.3	303.3	
722	71.94	303.29	303.29	303.29	
723	72.04	303.28	303.28	303.28	
724	72.14	303.27	303.27	303.27	
725	72.24	303.26	303.26	303.26	
726	72.34	303.25	303.25	303.25	
727	72.44	303.24	303.24	303.24	
728	72.54	303.23	303.23	303.23	
729	72.64	303.22	303.22	303.22	
730	72.74	303.21	303.21	303.21	
731	72.84	303.2	303.2	303.2	
