	Time [s]	Minimum [K]	Maximum [K]	Average [K]	
603	60.04	310.15	310.15	310.15	
604	60.14	310.15	310.15	310.15	
605	60.24	310.15	310.15	310.15	
606	60.34	310.15	310.15	310.15	
607	60.44	310.15	310.15	310.15	
608	60.54	310.15	310.15	310.15	
609	60.64	310.15	310.15	310.15	
610	60.74	310.15	310.15	310.15	
611	60.84	310.15	310.15	310.15	
612	60.94	310.15	310.15	310.15	
613	61.04	310.15	310.15	310.15	
614	61.14	310.15	310.15	310.15	
615	61.24	310.15	310.15	310.15	
616	61.34	310.15	310.15	310.15	
617	61.44	310.15	310.15	310.15	
618	61.54	310.15	310.15	310.15	
619	61.64	310.15	310.15	310.15	
620	61.74	310.15	310.15	310.15	
621	61.84	310.15	310.15	310.15	
622	61.94	310.15	310.15	310.15	
623	62.04	310.15	310.15	310.15	
624	62.14	310.15	310.15	310.15	
625	62.24	310.15	310.15	310.15	
626	62.34	310.15	310.15	310.15	
627	62.44	310.15	310.15	310.15	
628	62.54	310.15	310.15	310.15	
629	62.64	310.15	310.15	310.15	
630	62.74	310.15	310.15	310.15	
631	62.84	310.15	310.15	310.15	
632	62.94	310.15	310.15	310.15	
633	63.04	310.15	310.15	310.15	
634	63.14	310.15	310.15	310.15	
635	63.24	310.15	310.15	310.15	
636	63.34	310.15	310.15	310.15	
637	63.44	310.15	310.15	310.15	
638	63.54	310.15	310.15	310.15	
639	63.64	310.15	310.15	310.15	
640	63.74	310.15	310.15	310.15	
641	63.84	310.15	310.15	310.15	
642	63.94	310.15	310.15	310.15	
643	64.04	310.15	310.15	310.15	
644	64.14	310.15	310.15	310.15	
645	64.24	310.15	310.15	310.15	
646	64.34	310.15	310.15	310.15	
647	64.44	310.15	310.15	310.15	
648	64.54	310.15	310.15	310.15	
649	64.64	310.15	310.15	310.15	
650	64.74	310.15	310.15	310.15	
651	64.84	310.15	310.15	310.15	
652	64.94	310.15	310.15	310.15	
653	65.04	310.15	310.15	310.15	
654	65.14	310.15	310.15	310.15	
655	65.24	310.15	310.15	310.15	
656	65.34	310.15	310.15	310.15	
657	65.44	310.15	310.15	310.15	
658	65.54	310.15	310.15	310.15	
659	65.64	310.15	310.15	310.15	
660	65.74	310.15	310.15	310.15	
661	65.84	310.15	310.15	310.15	
662	65.94	310.15	310.15	310.15	
663	66.04	310.15	310.15	310.15	
664	66.14	310.15	310.15	310.15	
665	66.24	310.15	310.15	310.15	
666	66.34	310.15	310.15	310.15	
667	66.44	310.15	310.15	310.15	
668	66.54	310.15	310.15	310.15	
669	66.64	310.15	310.15	310.15	
670	66.74	310.15	310.15	310.15	
671	66.84	310.15	310.15	310.15	
672	66.94	310.15	310.15	310.15	
673	67.04	310.15	310.15	310.15	
674	67.14	310.15	310.15	310.15	
675	67.24	310.15	310.15	310.15	
676	67.34	310.15	310.15	310.15	
677	67.44	310.15	310.15	310.15	
678	67.54	310.15	310.15	310.15	
679	67.64	310.15	310.15	310.15	
680	67.74	310.15	310.15	310.15	
681	67.84	310.15	310.15	310.15	
682	67.94	310.15	310.15	310.15	
683	68.04	310.15	310.15	310.15	
684	68.14	310.15	310.15	310.15	
685	68.24	310.15	310.15	310.15	
686	68.34	310.15	310.15	310.15	
687	68.44	310.15	310.15	310.15	
688	68.54	310.15	310.15	310.15	
689	68.64	310.15	310.15	310.15	
690	68.74	310.15	310.15	310.15	
691	68.84	310.15	310.15	310.15	
692	68.94	310.15	310.15	310.15	
693	69.04	310.15	310.15	310.15	
694	69.14	310.15	310.15	310.15	
695	69.24	310.15	310.15	310.15	
696	69.34	310.15	310.15	310.15	
697	69.44	310.15	310.15	310.15	
698	69.54	310.15	310.15	310.15	
699	69.64	310.15	310.15	310.15	
700	69.74	310.15	310.15	310.15	
701	69.84	310.15	310.15	310.15	
702	69.94	310.15	310.15	310.15	
703	70.04	310.15	310.15	310.15	
704	70.14	310.15	310.15	310.15	
705	70.24	310.15	310.15	310.15	
706	70.34	310.15	310.15	310.15	
707	70.44	310.15	310.15	310.15	
708	70.54	310.15	310.15	310.15	
709	70.64	310.15	310.15	310.15	
710	70.74	310.15	310.15	310.15	
711	70.84	310.15	310.15	310.15	
712	70.94	310.15	310.15	310.15	
713	71.04	310.15	310.15	310.15	
714	71.14	310.15	310.15	310.15	
715	71.24	310.15	310.15	310.15	
716	71.34	310.15	310.15	310.15	
717	71.44	310.15	310.15	310.15	
718	71.54	310.15	310.15	310.15	
719	71.64	310.15	310.15	310.15	
720	71.74	310.15	310.15	310.15	
721	71.84	310.15	310.15	310.15	
722	71.94	310.15	310.15	310.15	
723	72.04	310.15	310.15	310.15	
724	72.14	310.15	310.15	310.15	
725	72.24	310.15	310.15	310.15	
726	72.34	310.15	310.15	310.15	
727	72.44	310.15	310.15	310.15	
728	72.54	310.15	310.15	310.15	
729	72.64	310.15	310.15	310.15	
730	72.74	310.15	310.15	310.15	
